ID,X,Y,Area,Side,Concentration,Herbaceous_leaf/culm,Herbaceous_inflorescence,Herbaceous_indet,Woody_species,Undetermined,Ag,Al,As,Ba,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Sr,V,Zn,Phosphates,Fatty_acids,Proteic_residues
In14(7),13.5,-10,Inside,Fireplace,246178.348,30,8,239,5,21,0.4,0.74,7,40,3.3,6,19,20,1.23,0.18,0.49,224,0.05,16,750,6,0.05,211,28,36,4,1,10
In24(12),14.5,-10,Inside,Fireplace,194957.071,30,7,245,1,18,0.3,0.67,5,40,2.89,6,17,12,1.09,0.24,0.47,216,0.23,14,780,5,0.11,223,23,27,5.5,1,10
In84(42),11.5,-10,Inside,Fireplace,881288.6171,48,3,233,1,23,1.2,0.64,5,50,2.94,5,21,13,1.19,0.29,0.45,202,0.27,15,810,6,0.11,134,28,32,5.5,2.5,10
In96(48),12.5,-9,Inside,Fireplace,905331.8642,34,5,271,8,18,0.6,0.85,4,50,4.69,6,23,13,1.41,0.25,0.56,225,0.32,17,860,7,0.08,235,34,62,6,2.5,11
In106(54),8.5,-12,Veranda,Fireplace,1111327.706,24,6,264,8,10,0.7,0.4,6,40,2.35,3,13,10,0.81,0.32,0.34,152,0.3,10,1040,3,0.11,343,18,23,5,2,10.5
In112(58),9.5,-11,Veranda,Fireplace,1072806.228,17,5,269,6,9,0.8,0.57,7,40,3.34,4,18,10,1.1,0.28,0.37,190,0.19,13,930,4,0.07,130,24,26,6,2.5,10.5
In119(63),10.5,-10,Inside,Fireplace,801299.9522,24,7,260,5,22,0.5,0.79,7,50,3.25,5,21,17,1.33,0.28,0.51,214,0.44,18,820,6,0.12,256,29,32,6,2.5,10
In134(70),11.5,-12,Inside,Storage,7691344.459,44,19,249,7,11,0.9,0.71,5,30,2.49,6,23,13,1.25,0.32,0.49,230,0.16,18,880,5,0.08,114,30,33,5,2.5,10
In130(69),11.5,-11,Inside,Fireplace,3324534.653,21,5,257,3,18,0.9,0.63,4,40,2.56,5,21,12,1.12,0.29,0.46,211,0.22,16,920,6,0.09,121,26,34,5,1.5,10
In129(68),11.5,-13,Inside,Storage,1802843.063,33,8,256,8,11,0.6,0.68,4,40,3.06,5,20,15,1.18,0.26,0.51,215,0.16,18,990,7,0.1,153,30,34,6,1.5,10
In118(62),10.5,-12,Inside,Storage,2738847.284,35,6,258,2,14,0.3,0.53,5,40,1.82,4,16,9,0.98,0.34,0.36,179,0.17,12,620,4,0.06,88,20,22,6,2.5,10
In100(50),12.5,-11,Inside,Fireplace,845885.5,19,9,250,13,17,1.2,0.55,3,40,2.59,4,17,12,1.04,0.29,0.43,185,0.26,12,760,5,0.1,118,25,29,4,2.5,10
In98(49),12.5,-13,Inside,Storage,805714.37,31,16,265,5,21,0.8,0.88,3,60,4,6,25,15,1.46,0.25,0.56,265,0.16,19,860,7,0.09,194,32,36,4.5,2.5,10
In75(39),15.5,-11,Inside,Fireplace,1777802.642,23,9,259,7,9,0.6,0.77,5,50,4.07,6,25,12,1.42,0.23,0.52,217,0.22,18,840,6,0.09,195,32,32,5,2.5,10.5
In72(37),15.5,-13,Inside,Storage,1502522.349,25,6,253,5,23,0.6,0.83,4,50,3.63,6,25,13,1.39,0.23,0.52,230,0.19,18,710,6,0.09,154,31,36,5.5,2.5,10.5
In64(33),14.5,-11,Inside,Fireplace,1136732.285,38,11,241,5,17,2.5,0.76,4,50,4.25,5,21,12,1.26,0.24,0.53,210,0.25,16,880,6,0.1,184,29,32,5,0.5,10
In62(31),14.5,-13,Inside,Storage,3519282.452,35,11,246,4,16,0.5,0.95,3,50,3.12,6,24,14,1.5,0.27,0.54,242,0.18,18,820,7,0.09,164,30,38,6,0.5,12
In55(27),9.5,-9,Veranda,Storage,4169583.456,47,8,235,5,17,0.7,0.58,3,40,2.31,4,23,13,1.34,0.22,0.4,205,0.09,15,1190,6,0.08,134,24,37,6,2.5,10
In39(20),8.5,-11,Veranda,Fireplace,1972604.081,29,4,256,6,15,1.3,0.55,4,50,3.42,5,19,13,1.2,0.3,0.39,202,0.27,14,1170,5,0.09,153,31,38,6,2,10
In36(19),8.5,-10,Veranda,Storage,5171641.162,31,12,239,6,18,0.6,0.56,3,40,2.72,5,18,12,1.05,0.31,0.41,204,0.3,14,1340,4,0.11,133,23,35,6,2.5,10
In35(18),8.5,-8,Veranda,Storage,89419.08696,84,18,177,11,26,0.3,0.77,4,50,3.96,5,24,9,1.3,0.18,0.38,203,0.11,17,320,6,0.03,122,30,22,5,0.5,11
In33(17),8.5,-9,Veranda,Storage,3116894.725,49,7,242,1,13,0.8,0.48,3,40,2.88,4,16,11,0.92,0.32,0.38,211,0.24,12,1090,6,0.11,140,21,32,5.5,2,10
In31(16),7.5,-12,Veranda,Fireplace,1678693.927,46,11,246,3,26,0.6,0.73,4,50,2.5,6,23,15,1.4,0.34,0.46,227,0.15,18,1070,7,0.08,120,31,35,5.5,1,10
In28(14),7.5,-10,Veranda,Storage,49879.14196,63,11,199,12,22,0,0.62,4,60,0.66,6,20,10,1.33,0.19,0.31,298,0.11,16,340,9,0.03,40,26,25,5.5,0.5,12
In27(13),14.5,-12,Inside,Storage,11482243.26,41,8,255,2,4,1.2,0.65,4,40,3.4,5,17,12,1.07,0.22,0.46,189,0.17,13,830,5,0.09,180,24,31,5,1,10.5
In9(3),13.5,-12,Inside,Storage,7067415.826,26,7,257,4,10,1,0.74,5,50,4.3,6,21,15,1.3,0.31,0.57,235,0.21,16,1090,6,0.12,201,30,36,6,2.5,12
